Video Id,Publish Date,Channel Id,Video Title,Video Description,Channel Title,Video Tags,Default Audio Language,Video Views,Video Likes,Favorite Count,Comment Count,Channel Country,Query,Caption Saved
Fi8gTif6kpE,2018-10-12T05:30:00Z,UC3PVtkwtqwCD4LEPguBEADA,Filipina British Life in UK: KULITAN NAMING MAG ASAWA|Mia Sandoval,"Filipina British Life in UK: KULITAN NAMING MAG ASAWA|Mia Sandoval
Happy watching! ❤️😊
(Daghang salamat.)Thank you for watching! Please subscribe. :)
*NEW VLOGS EVERY OTHER DAY*

Other channel(ASMR): https://www.youtube.com/channel/UCeNDAEsgqhPvfs-FRiKwobA/featured?disable_polymer=1

About me: Hello palangga(my love),
My name is Mia, from Philippines. I am happily married and residing in UK with my husband. We are in an age gap relationship. I share the glimpse of my  LIFESTYLE,  BEAUTY, VLOGS, and randomness in this channel. 
-❗️""Relationship should be judged on maturity not the age difference""-Mia❤️
----------------------------------------------------------------------------------------------------------
Want to work at home? Click!
 https://www.prizerebel.com/index.php?r=ramem21
----------------------------------------------------------------------------------------------------------
Email: miasandoval0001@gmail.com
Instagram: https://www.instagram.com/miasandoval49/
Twitter: https://twitter.com/miasandoval49
Facebook: https://business.facebook.com/miasandoval49/
----------------------------------------------------------------------------------------------------------------
Editor & Equipment I used: iMovie | iPhone 6 plus & Canon G7x Mark ii
Lighting: Natural Lighting
---------------------------------------------------------------------------------------------------------------
DISCLAIMER: I DO NOT OWN THE MUSIC IN MY VIDEOS.

""You are beautiful and so much more""-Mia

 #filipinabritish #miasandoval",Mia Sandoval,"['Filipina British', 'Life in UK', 'Mia Sandoval', 'Filipina', 'Filipina wife', 'British', 'british husband', 'Life', 'in', 'UK', 'NAMING', 'MAG', 'ASAWA', 'MAG ASAWA', 'ASAWA LIFE', 'ASAWA TIME', 'MAG ASAWA TIME', 'simply rhaze', 'anne paris', 'mcqueens', 'pinay', 'vlogging pinoy', 'tagalog', 'bisaya vlog', 'ofw', 'ldr', 'Filipina British Life in UK: KULITAN NAMING MAG ASAWA|Mia Sandoval', 'KULITAN NAMING MAG ASAWA|', 'KULITAN', 'mag asawa', 'kulitan']",tl,68451,0,0,182,GB,Trying Filipino Snacks,Yes
Idmu78v5TeE,2018-10-30T08:00:00Z,UC3PVtkwtqwCD4LEPguBEADA,Filipina British Life in UK:GALA SA SEMENTERYO+ MAY MULTO DITO!,"Filipina British Life in UK:GALA SA SEMENTERYO+ BAKA MAY MULTO DITO!
Happy watching! ❤️😊
(Daghang salamat.)Thank you for watching! Please subscribe. :)
*NEW VLOGS EVERY OTHER DAY*

Other channel(ASMR): https://www.youtube.com/channel/UCeNDAEsgqhPvfs-FRiKwobA/featured?disable_polymer=1

About me: Hello palangga(my love),
My name is Mia, from Philippines. I am happily married and residing in UK with my husband. We are in an age gap relationship. I share the glimpse of my  LIFESTYLE,  BEAUTY, VLOGS, and randomness in this channel. 
-❗️""Relationship should be judged on maturity not the age difference""-Mia❤️
----------------------------------------------------------------------------------------------------------
Want to work at home? Click!
 https://www.prizerebel.com/index.php?r=ramem21
----------------------------------------------------------------------------------------------------------
Email: miasandoval0001@gmail.com
Instagram: https://www.instagram.com/miasandoval49/
Twitter: https://twitter.com/miasandoval49
Facebook: https://business.facebook.com/miasandoval49/
----------------------------------------------------------------------------------------------------------------
Editor & Equipment I used: iMovie | iPhone 6 plus & Canon G7x Mark ii
Lighting: Natural Lighting
---------------------------------------------------------------------------------------------------------------
DISCLAIMER: I DO NOT OWN THE MUSIC IN MY VIDEOS.

""You are beautiful and so much more""-Mia

#agegaprelationshp #filipinabritish #couple",Mia Sandoval,"['Filipina British Life in UK:GALA SA SEMENTERYO+ BAKA MAY MULTO DITO!', 'Filipina British Life in UK', 'GALA SA SEMENTERYO', 'BAKA MAY MULTO DITO', 'GALA SA SEMENTERYO+ BAKA MAY MULTO DITO!', 'Filipina British Life in UK:GALA SA SEMENTERYO', 'Filipina British', 'Life in UK', 'Filipina', 'British', 'Life', 'in', 'UK', 'GALA', 'SA', 'SEMENTERYO', 'BAKA', 'MAY', 'MULTO', 'DITO', 'MAY MULTO DITO', 'MAY MULTO', 'SA SEMENTERYO', 'BAKA MULTO', 'pinoy', 'pinay', 'gma', 'multo sa sementeryo', 'haha', 'funny', 'ghost', 'spooky', 'mia', 'maples']",tl,68915,0,0,218,GB,Trying Filipino Snacks,Yes
JyuDpnjCK_U,2018-11-03T08:00:01Z,UC3PVtkwtqwCD4LEPguBEADA,Filipina British Life: ITS COMPLICATED + LIFE UPDATE,"Filipina British Life: ITS COMPLICATED + LIFE UPDATE - Mia Sandoval 
Happy watching! ❤️😊
(Daghang salamat.)Thank you for watching! Please subscribe. :)
*NEW VLOGS EVERY OTHER DAY*

Other channel(ASMR): https://www.youtube.com/channel/UCeNDAEsgqhPvfs-FRiKwobA/featured?disable_polymer=1

About me: Hello palangga(my love),
My name is Mia, from Philippines. I am happily married and residing in UK with my husband. We are in an age gap relationship. I share the glimpse of my  LIFESTYLE,  BEAUTY, VLOGS, and randomness in this channel. 
-❗️""Relationship should be judged on maturity not the age difference""-Mia❤️
----------------------------------------------------------------------------------------------------------
Want to work at home? Click!
 https://www.prizerebel.com/index.php?r=ramem21
----------------------------------------------------------------------------------------------------------
Email: miasandoval0001@gmail.com
Instagram: https://www.instagram.com/miasandoval49/
Twitter: https://twitter.com/miasandoval49
Facebook: https://business.facebook.com/miasandoval49/
----------------------------------------------------------------------------------------------------------------
Editor & Equipment I used: iMovie | iPhone 6 plus & Canon G7x Mark ii
Lighting: Natural Lighting
---------------------------------------------------------------------------------------------------------------
DISCLAIMER: I DO NOT OWN THE MUSIC/SOUND IN MY VIDEOS. NO COPYRIGHT INFRINGEMENT INTENDED.

""You are beautiful and so much more""-Mia

 #filipinabritish",Mia Sandoval,"['Filipina British Life: ITS COMPLICATED + LIFE UPDATE', 'Filipina British Life', 'ITS COMPLICATED', 'LIFE UPDATE', 'ITS COMPLICATED + LIFE UPDATE', 'Filipina', 'British', 'Life', 'ITS', 'COMPLICATED', 'LIFE', 'UPDATE', 'british', 'filipino', 'britishfilipino', 'filipina wife', 'wife', 'husband', 'in', 'uk', 'england', 'philippines', 'united', 'kingdom', 'mia sandoval latest vlog', 'mia sandoval', 'british filipina', 'asawa life', 'ofw life', 'ofw vlog', 'vlog', 'haha', 'reality videos', 'reality', 'gold digger', 'gold digger 90 day fiance', 'filipina gold digger', 'latest']",tl,49021,0,0,146,GB,Trying Filipino Snacks,Yes
7pD0XOWc5nU,2018-11-09T06:30:00Z,UC3PVtkwtqwCD4LEPguBEADA,Filipina British Life: May kalokohan si misis + Cute kaya binili 😁,"Filipina British Life: May kalokohan si misis + Cute kaya binili 😁
 -Mia Sandoval
Happy watching! ❤️😊
(Daghang salamat.)Thank you for watching! Please subscribe. :)
*NEW VLOGS EVERY OTHER DAY*

Other channel(ASMR): https://www.youtube.com/channel/UCeNDAEsgqhPvfs-FRiKwobA/featured?disable_polymer=1

About me: Hello palangga(my love),
My name is Mia, from Philippines. I am happily married and residing in UK with my husband. We are in an age gap relationship. I share the glimpse of my  LIFESTYLE,  BEAUTY, VLOGS, and randomness in this channel. 
-❗️""Relationship should be judged on maturity not the age difference""-Mia❤️
----------------------------------------------------------------------------------------------------------
Want to work at home? Click!
 https://www.prizerebel.com/index.php?r=ramem21
----------------------------------------------------------------------------------------------------------
Email: miasandoval0001@gmail.com
Instagram: https://www.instagram.com/miasandoval49/
Twitter: https://twitter.com/miasandoval49
Facebook: https://business.facebook.com/miasandoval49/
----------------------------------------------------------------------------------------------------------------
Editor & Equipment I used: iMovie | iPhone 6 plus & Canon G7x Mark ii
Lighting: Natural Lighting
---------------------------------------------------------------------------------------------------------------
DISCLAIMER: I DO NOT OWN THE MUSIC/SOUND IN MY VIDEOS. NO COPYRIGHT INFRINGEMENT INTENDED.

""You are beautiful and so much more""-Mia

#miasandoval #filipinabritish #couple",Mia Sandoval,"['Filipina British', 'British Life', 'Filipina life', 'Filipina', 'British', 'Life', 'misis', 'si misis', 'cute', 'cute kasi', 'kaya', 'binili', 'mia sandoval', 'british', 'filipino', 'britishfilipino', 'filipina', 'wife', 'husband', 'foreingner', 'living', 'in', 'uk', 'vlog', 'philippines', 'united', 'kingdom', 'family', 'couple', 'Filipina British Life: May kalokohan si misis + Cute kaya binili 😁', 'May kalokohan si misis', 'may', 'kalokohan', 'si', 'kalokohan ni misis', 'ni misis']",tl,44528,0,0,177,GB,Trying Filipino Snacks,Yes
YamEZfcS3mU,2019-04-30T18:46:02Z,UCcT6w3xUyVshyR2_2vrMp1w,Small town in the Philippines outlaws gossiping,This is In Other News -- stories that may not be on your radar but should be.,WUSA9,"['get-up-dc', 'entertainment', 'television', 'programs']",en,95,0,0,0,US,Foreigner impressions of the Philippines,Yes
Ue0mU-AZmpM,2021-04-07T12:45:21Z,UCKie0svsFyBBsKaQIA4hx-w,Don't Start a Business Until You Watch This + At Carbon Market Cebu City | John Smulo,"WARNING: Don't start a business until you watch this.

📣 If you want to support me and my mission, please consider joining our channel membership. You'll get access to perks such as loyalty badges, custom emojis, priority replies, exclusive live videos, and more! Join here: https://www.youtube.com/channel/UCKie0svsFyBBsKaQIA4hx-w/join 👈

Everybody wants to know how to start a business, but have you ever wondered why you shouldn't start a business?

There are far more reasons not to start a business than there is to create one. Today I journey to Cebu City's Carbon Market to give sandals away to those who need them, and talk about my answers to why I think many people should not start a business.

If you have observed, most businesses don't make it in the first year. And out of those that make it, almost all of them get out of business by their fifth year.

Why is that?

When you start a business, you won't have as much free time as you did when you worked 9-5. You'll also have to work almost 24/7 until you get profitable enough to hire some help.

And if you're also someone who gives up quickly and only wants to start something and not work day and night to improve it, then entrepreneurship may not be for you. 

Persistence and determination is also key to making a business successful. And if you don't have that, ABSOLUTELY do not start a business. Be comfortable making mistakes and learn from them instead.

So think long and hard...

Is starting a business a great option for you? Let me know in the comments below.

And remember, don't start a business until you watch this entire video!

A quick note:
As an American expat in the Philippines, I want to help and support both expats in the Philippines and Filipinos. We came to Cebu City's Carbon Market to help a fellow American struggling with his business, but he wasn't there, unfortunately. Today was still fruitful, though, as we were able to give out sandals to Filipino children as planned.

If you enjoyed this video, please give us a like and share it with your friends.

Join me in my entrepreneur vlog in Cebu Philippines by subscribing to my channel here: https://www.youtube.com/c/JohnSmuloTV?sub_confirmation=1

Follow us and get regular updates!
Facebook: https://www.facebook.com/JohnSmuloTV/
Instagram: https://www.instagram.com/johnsmulo/

#JohnSmulo #business #entrepreneur",American Entrepreneur in the Philippines,"[""don't start a business until you watch this"", ""why you shouldn't start a business"", 'entrepreneurial mindset', 'expat philippines', 'american expat in the philippines', 'practical wisdom', 'entrepreneur vlog', 'living in cebu', 'Cebu Philippines', 'Cebu City', 'John Smulo', 'purple cow agency', 'expats in the philippines', 'small business owner', 'carbon market in cebu city', 'carbon market cebu city', 'living in the philippines as an american', 'small business', 'watch this before starting a business']",en-US,1468,60,0,59,US,Foreigner vlog Philippines,Yes
Jf2tNIE-IHE,2022-11-18T10:30:10Z,UCxBWeubuZrc8sQE_bXytgUQ,Hong Kong Russian Couple First Impression of BGC Manila | We Love Filipino Food,"Title: Hong Kong Russian Couple First Impression of BGC Manila

In this episode, we finally visited one of the top recommended district here in Manila called BGC - Bonifacio Global City. We came without any expectations and let the experience took us. We DID NOT EXPECT BGC to be this stunning. As soon as we arrived, we were stunned by how beautifully the streets are decorated and managed, especially with beautiful Christmas decorations everywhere on the streets. Growing up in the metropolitan of Hong Kong, I love seeing citylights at night and the nightlights in Manila is a sight to see. It reminds me of home. 

We took a long stroll along the streets of BGC and there was a huge variety of food options from local cuisines to high quality international restaurants. We ended up dining at a top recommended Filipino restaurant called Manam to try Filipino cuisine. We were completely blown away by how delicious filipino cuisine was and we cannot wait to try more in the future. 

Manam Google Map Address:
https://goo.gl/maps/1QoYPqDwocXSkFYD7

Want to see more of our vlogs in the Philippines? Subscribe to our channel now!

FOLLOW ME!
► Facebook - https://www.facebook.com/justoutofficial
► Justin's Instagram - https://www.instagram.com/fulltime_justin/
► Alina's Instagram - https://www.instagram.com/fulltime_alina/
► Youtube - https://youtube.com/@project_where
► Email - projectwhere.info@gmail.com

RESOURCES!
► Epidemic Sound (Use this link for 30 Days free trial!) - https://share.epidemicsound.com/472qcq
► Travel Insurance: Safety Wings (I travel full time with this insurance) - https://safetywing.com/nomad-insurance/?referenceID=projectwhere&utm_source=projectwhere&utm_medium=Ambassador",Justin & Alina,"['hong kong russian couple', 'first impression of bgc manila', 'first time trying filipino food', 'we love filipino food', 'how to travel bgc manila 2022', 'food adventures in the philippines', 'where to find filipino food in manila', 'the best filipino restaurant in manila', 'food vlog in the philippines', 'the best cuisines in the world', 'first impression of manila 2022', 'where to go in manila 2022', 'best place to go in manila 2022', 'food vlog in manila', 'Bonifacio Global City', 'modern side of manila']",en,51035,2690,0,421,AU,"Foreigner impressions of the Philippines,Love Filipino,Try Filipino Food",Yes
uTPpdi5OIig,2019-10-24T23:00:04Z,UCTPxMCyJyYGF6H0eBhOvgsA,Our first time with EUROSTAR from Amsterdam to London! | Filipino Dutch Family,"What is it like on our first time with EUROSTAR from Amsterdam to London? Is it a smooth train ride? Is it worth it with kids and is it better than flying? We tried it and we'll let you know!  

Hope you enjoy this video and please don't forget to like, comment and subscribe to our channel to follow us on our London travels. New episodes every FRIDAY! Thank you for watching and until next time!

Subscribe to our channel:
https://www.youtube.com/c/pinaymomsblogs

Follow us on twitter @pinaymomsblogs

— 
Hello YouTube viewers! I’m a Filipina from Manila, Philippines. I used to live in Los Angeles and then met my Dutch husband there, got married and moved to the Netherlands. We both love to travel! We are blessed to have 2 beautiful boys to share our journeys together. I feel very grateful. Here’s sharing some of our day-to-day activities, family vacations, staycations and weekend getaways with you all!",Pinay mom's blogs,"['first time in eurostar', 'eurostar amsterdam to london', 'eurostar train to london', 'family first time in eurostar', 'filipino dutch family vlog', 'filipino vlogger in europe', ""pinay mom's blogs"", 'eurostar train', 'eurostar london to amsterdam', 'eurostar standard premier', 'eurostar london to amsterdam standard', 'eurostar train london to amsterdam standard', 'eurostar train brussels to london', 'eurostar train london to amsterdam underwater', 'eurostar london to amsterdam standard premier']",en,3128,51,0,16,NL,"Love Filipino,Visit Filipino,Visit Filipino",Yes
dkd_72evovo,2018-11-22T09:00:07Z,UCUDTw1k24lKpj37k_h3pyWg,Filipina Australian Couple: TARA SA HIGHPOINT with ELLA || IrisLaine,"Filipina Australian Couple: TARA SA HIGHPOINT with ELLA

Yoga Challenge: https://youtu.be/o0KJ72pOmL0


Hello, I'm IrisLaine, living a simple life and sharing good vibes to everyone! 

Please join me with my randomness.

Social account:
Instagram: https://www.instagram.com/irislainexo/
Facebook: https://www.facebook.com/irislainexo/


Thank you so much for watching and all your support! Big hugs from me to you!
xo, IrisLaine


Please LIKE, SUBSCRIBE and SHARE (:
KEEP SPREADING LOVE AND POSITIVITY!!


Disclaimer: All items/products mentioned and reviewed are based on my personal experiences, these may or may not work for everyone.


#LifeinAustralia #Filipina #IrisLaine",IrisLaine,"['filipina', 'pinay', 'filipino', 'beauty', 'vlogger', 'youtuber', 'melbourne', 'australia', 'sydney', 'australian', 'couple', 'ofw', 'overseas', 'worker', 'life', 'abroad', 'buhay', 'daily', 'vlog', 'kapampanga', 'pampanga', 'irislaine', 'highpoint', 'filipina australian', 'couple vlogger']",en,2529,0,0,58,AU,Trying Filipino Snacks,Yes
5xVeZrpVzow,2018-12-13T15:56:16Z,UCAkLcdOFbDWf-zzPVDu7MTQ,Pinoy Kids 1st Day of School in Canada,"Blithe and Iya were excited but anxious. Iya even hardly able to sleep. 
Please bear with the video. We wanted to capture the moment but not sure if we are allowed to take a video. So we didn't include the kids faces. Also we were in a hurry, afraid that we will be late and didn't notice that most of the video taken is not good. 
Filmed: September 4, 2018

Please click the CC for the subtitle. 
Thank you for watching
Please subscribe to our Youtube Channel

Visit our website at https://www.blekxy.com/ for more info's.",Blekxy,"['Filipino in Moncton', 'Filipino in New Brunswick', 'Filipino in Canada', 'Filipino Immigrants', 'Pinoy in Canada', 'Pinoy in New Brunswick', 'Pinoy in Moncton', 'Pinoy Immigrants', 'Immigrants', 'Moncton', 'New Brunswick', 'first day of school', 'elementary school in canada', 'elementary school in new brunswick', 'elementary school in moncton', 'filipino in school', 'north end moncton', 'what do you do in first day of school', 'what to do in first day of school', 'what to expect first day of school']",en,37216,406,0,120,CA,"First time Philippines,Trying Filipino Snacks",Yes
