Video Id,Publish Date,Channel Id,Video Title,Video Description,Channel Title,Video Tags,Default Audio Language,Video Views,Video Likes,Favorite Count,Comment Count,Channel Country,Query,Caption Saved
XAWlVODAJ5s,2020-04-30T10:45:01Z,UCuS5fmeEDpnW5JPMdRhGm7A,Stranded FOREIGNERS create PHILIPPINES QUARANTINE GAMES,"Welcome to the Philippines HOME QUARANTINE GAMES 2020! Today we will have some intense emotions and unexpected moments during Philippines major sports event of the year 2020!
HUGE THANK YOU t🙏🏼o all the contributors of the PQG 2020 - you made a lot of people smile today 😋:
🌟The beautiful Miss World Philippines Michelle Marquez Dee for the honor of opening this unique event! Follow her here: 
📸 https://www.instagram.com/michelledee/

🌟Philippines Vloggers George and Lucy for performing the official Philippines Quarantine Games Anthem. We hope this song will hit the charts! 
Follow them here: 
🎥  @TheJuicyVlog   
📸 https://www.instagram.com/lucydagostino_/
📸 https://www.instagram.com/georgewarringtonuk/

🌟Janina Manipol featuring the incredible talent of the cutest kittens we have ever seen! Follow her here: 
📸 https://www.instagram.com/janinamanipol/

🌟 Professor Martin Solhaugen for verifying the results with specialists from Norway
🎥  @martinsolhaugen 
📸 https://www.instagram.com/solhaugen/

🌟 The cheerleaders Zowie and Carson for their incredible performance and support for our contestants! 
Follow them here: 
🎥  @BisayangHilaw  and  @ZowiePalliaer 
📸 https://www.instagram.com/carson.moody/
📸 https://www.instagram.com/zowiepalliaer/

🌟 Our Manila correspondent Oscar Oida for keeping us up to date with the situation in Manila:
📸 https://www.instagram.com/oscaroida/
FB: https://www.facebook.com/Oscar-Oida-230967478683/

👉🏼FOLLOW US on our Socials for some behind the scenes of our life and travels in the Philippines 🇵🇭
👨🏻MIKE:
IG: https://www.instagram.com/makingithappenvlog/
FB: https://www.facebook.com/makingithappenvlog
YT:  @MikeMakingitHappen  

👩🏻NELLY:
IG: https://www.instagram.com/nellyslife__/
FB: https://www.facebook.com/nellyslife/
YT:  @Nellyslife 

SUBSCRIBE to our new REACTION CHANNEL @WhatsupPhilippines 
https://www.youtube.com/channel/UCryJ4vhASeu7uhXRPOL3WhA
▬▬▬

SAVE SOME MONEY ON YOUR NEXT ACCOMMODATION💰

AIRBNB:
👇🏼👇🏼👇🏼
and get up to $42 off your next stay by signing up with our link:
https://www.airbnb.com/c/michaelh25656?currency=USD

▬▬▬
👚 GET OUR MERCH HERE: http://bit.ly/MakingItHappenMERCH
100% of our Merch proceeds are donated to the Kalipay Negrense Foundation to bring joy and a better future to disadvantaged Filipinos 🇵🇭

We wanted to give you an overview and full transparancy about our ""Making It Happen Merch"" Donations for Kalipay Negrense Foundation
Therefore we will upload the monthly sales reports in this folder so you can check every month how much YOU guys contributed for a good cause by supporting our little project for Giving Back 🙏🏼
Here is the link: https://bit.ly/34tK9zO

If you have any questions, feel free to reach out to us via email: mike.makingithappen@gmail.com

▬▬▬

ABOUT US:
We are Mike and Nelly, two passionate travellers who love to immerse themselves into new cultures and experiences all around the globe. We are always up for travels that involve amazing people, good food, great coffee and the next adventure. We love capturing these moments on our Travel Vlogs.
SUBSCRIBE for TRAVEL, FOOD and  GOOD VIBES.

LETS STAY IN TOUCH:
🤗 click the links to follow us on our other social channels
https://linktr.ee/makingithappenvlog

WORK WITH US:
📬 mike.makingithappen@gmail.com

▬▬▬",Making it happen Vlog,"['Philippines', 'manila', 'quarantine activity', '#Philippines', '#QuarantineChallenge', 'Foreigners react to Quarantine in Philippines', '#WeSmileAsOne']",en,33875,3307,0,604,US,"Foreigner React Filipino,Foreigner reacts to Filipinos,Foreigner travels to Philippines,Foreigner vlog Philippines",Yes
N7x3UtdMxE4,2019-01-20T04:51:20Z,UCDikY0fBFXGCFA_0Fr2azYg,Miss Universe 2018 - Catriona Gray Philippines Highlights | Reaction - Asians Down Under,"Our first time watching Catriona Gray on Miss Universe. She is talented, gorgeous and amazing. Well deserved win by Philippines!

--
❤️ CONNECT WITH US!

🍙 Asians Down Under
📸 Instagram - https://instagram.com/AsiansDownUnder
📱 TikTok - https://tiktok.com/@AsiansDownUnder
💬 Discord - https://discord.com/invite/ddHksDSDwq

Law (Law.vLogs)
▶️ YouTube - https://www.youtube.com/TechwithLawrence
📸 Instagram - https://instagram.com/law.vlogs
📸 Instagram - https://instagram.com/tech_with_lawrence

Joanne (Juuannie)
▶️ YouTube - https://www.youtube.com/juuannie
📸 Instagram - https://instagram.com/juuannie

Hoju (hojushi)
▶️ YouTube - https://youtube.com/hojushi
📺 Twitch - https://twitch.tv/hojushi

Thank you for watching!

#missuniverse #Catriona #missuniverse2018",Asians Down Under,"['miss universe 2018 reaction', 'miss universe 2018 reaction videos', 'miss universe 2018 react', 'miss universe 2018 reaction foreigners', 'miss universe 2018 reaction korean', 'miss universe 2018 reaction Australia', 'miss universe reaction', 'miss universe reaction Philippines', 'catriona gray miss universe 2018', 'miss universe 2018 winner philippines', 'miss universe 2018 winner catriona gray', 'miss universe 2018 live', 'miss universe 2018 top 3', 'miss universe 2018 winner']",en-GB,5580617,106985,0,2708,AU,"American React Filipino,First time Philippines,First time Philippines,Foreigner React Filipino,Foreigner reacts to Filipinos,Foreigner travels to Philippines,Foreigner travels to Philippines,Foreigner vlog Philippines,Japanese React Filipino,Korean React Filipino,React to Filipinos,React to PH,React to Philippines,React to Pinoy,Top Philippines",Yes
evTFGDVlQ4s,2019-07-04T00:00:01Z,UCLNoXf8gq6vhwsrYp-l0J-Q,Americans Pick the Most Beautiful Filipina Beauty Pageant Winner?!,"We asked random strangers in NYC’s Times Square to pick the most beautiful past Filipina winner of international beauty pageants. Specifically, people chose from Miss Universe 2018 Catriona Gray, Miss Universe 2015 Pia Wurtzbach, Miss World 2013 Megan Young, Miss International 2016 Kylie Verzosa, Miss International 2013 Bea Santiago, and Miss International 2005 Lara Quigaman (or Precious Lara Quigaman).

The Philippines is known for its obsession with beauty pageants and so hopefully all you guys in the Philippines will find this interesting! Remember to subscribe and check out my other Filipino videos involving food, culture, and funny reactions! See you next time!!!

Subscribe to my channel: https://www.youtube.com/channel/UCLNoXf8gq6vhwsrYp-l0J-Q?sub_confirmation=1
Follow me on Instagram: https://www.instagram.com/xiaomanyc/
Follow me on Facebook: https://www.facebook.com/xiaomanyc/",Xiaomanyc 小马在纽约,"['xiaomanyc', 'yt:cc=on', 'food', 'street food', 'food interview', 'times square', 'nyc', 'new york', 'Catriona Gray', 'Pia Wurtzbach', 'Megan Young', 'Kylie Verzosa', 'Bea Santiago', 'miss world', 'miss universe', 'liza soberano', 'beauty pageants', 'filipino celebrities', 'top 10', 'most beautiful', 'filipino stars', 'miss philippines', 'maine mendoza', 'nadine lustre', 'filipino celebs', 'pinoy celebrities', 'most beautiful celebrities', 'most beautiful celebrities in the philippines', 'miss international']",en,1081172,27593,0,2241,US,"Foreigner React Filipino,Foreigner reacts to Filipinos,Foreigner speaks Filipino,Foreigner tries Filipino food,Foreigner vlog Philippines,Korean React Filipino,React to Filipinos,React to PH,React to Philippines,Trying Filipino Snacks",Yes
Rb-vr5vfo8g,2020-02-12T00:05:47Z,UCwmjQLxUeYS2qxpNH8cF0Rw,Reacting to Famous Half Filipino Celebrities With Foreign Blood,"SUBSCRIBE TO MY CHANNEL  - bit.ly/2JmVUgq
HELP ME REACH 10,000 SUBSCRIBERS Thank you!

In today's video I check out famous half Filipino celebrities with foreign blood! Philippines has a lot of beautiful people!!! Thank you for watching and let me know who do you think is the most famous half Filipino celebrity!

Original video - https://www.youtube.com/watch?v=XK82ovv3wLw

Music from David Cutter

Follow me on
https://twitter.com/TheDennisChua
https://instagram.com/dennis_chua_
https://www.facebook.com/TheDennisChua

BEST YOUTUBE TOOL - http://bit.ly/3ahOvNI
BEST ONLINE FILM SCHOOL - http://bit.ly/2IA3WWj
FREE SOCIAL MEDIA DESIGN TOOL - http://bit.ly/32PiRTM
FREE COLOR GRADING LUT - http://bit.ly/2Ss9epz

My Video Editing Software - http://bit.ly/AdobePPTrial
My Main Camera — https://amzn.to/2J1I2te
My Main Lens — https://amzn.to/2ChbHNA
My Tripod — http://ebay.to/2EKFvDL
My Microphone — https://amzn.to/2EjZJFy
My Lighting kit — https://amzn.to/2RQVeVB
My Main Drone —  https://amzn.to/2ChbUAm
My Gear List —  http://www.startmediagear.com

#dennischua #filipino #foreignblood #top10

DISCLAIMER: This video and description contains affiliate links, which means that if you click on one of the product links, I’ll receive a small commission. This helps support the channel and allows me to continue to make videos like this. Thank you for the support I really appreciate it!



About this video
In this video Dennis Chua shares his reaction of famous half Filipino celebrities with foreign blood Famous Filipino Celebrities With Foreign Blood You Didn't Know reaction , half Filipino celebrities in the Philippines reaction , reacting to half Filipino celebrities with foreign blood , half Filipino reaction , half Filipino stars reaction , half Filipino in Philippines reaction , famous half Filipinos , half Filipino , dennis chua reactions, half Filipino reactions, Filipino celebrities reaction , half Filipino stars reaction pinoy stars",BossD3nnis,"['dennis chua', ""Famous Filipino Celebrities With Foreign Blood You Didn't Know reaction"", 'half filipino celebrities in the philippines reaction', 'reacting to half filipino celebrities with foreign blood', 'half filipino reaction', 'half filipino stars reaction', 'half filipino in philippines reaction', 'half filipino', 'half filipina reactions', 'filipino celebrities reaction', 'filipino celebrities', 'filipino', 'pinoy celebrities', 'filipino celebrity', 'pinoy stars', 'filipino celebs', 'filipino stars']",en,913,52,0,16,AU,React to Filipinos,Yes
FHWph0x6D2o,2021-08-27T09:00:06Z,UC5NF_7WBa8OVDC0Xbs8yvOg,JapaneseGirl Reacts To Top Filipino Actors [She's Surprised!],"Suzu's never really seen Filipino shows or movies.
So today, I'll be showing Suzu some of the top Filipino Actors!

フィリピン人恐るべし！！皆さんは誰がお気に入りでしたか？

次回の動画もお楽しみに！

▶︎【Intro to Our Lives!】私達、日本人とフィリピン系アメリカ人カップルの自己紹介
https://youtu.be/I9bJgyp1VXM

▶︎【How We Met】私達の出会い、馴れ初め編
https://youtu.be/rhFWZA5COvw

▶︎ Check out our previous video! 前回の動画はこちら
Going To Gym With My Boyfriend Prank! *Cutest Reaction* スポブラとショーツだけでジム行くって言ったらアメリカ人彼氏に拝まれました
https://youtu.be/vF9c4Tu4uVs

Hello, We Are Japapino World Living in NYC!
Suzu is from Tokyo, Japan and Alvin is from the Philippines raised in New York City!
We make videos on our International Couple Relationship, Challenges, Pranks, and Much More!
If you like our content and would like to see more make sure you Comment, Like, and SMASH that Subscribe button!✨
日本生まれ日本育ちのすずと、フィリピン生まれアメリカ育ちのアルビンの、国際カップルです！アメリカ・ニューヨークから、国際恋愛についてや、検証、ドッキリ、NYでのライフスタイルなどの動画をお届けしていきます！ぜひ チャンネル登録、高評価、コメント、よろしくお願いします！

▼Instagram▼
Alvin: https://www.instagram.com/aleibenn/
Suzu: https://www.instagram.com/suzuthebell/

▼TikTok▼
https://www.tiktok.com/@japapinoworld

▼Twitch▼
Alvin: https://www.twitch.tv/aleibenn

▼Discord▼
https://discord.gg/73Y7ZEEJGh

▼Business inquiries (Email)▼
japapino.world@gmail.com

▼In-Video Art▼
Chris: https://www.instagram.com/halakachris/

#InternationalCouple #ReactingToTopFilipinoActors",Japapino World ジャパピーノ,"['Japapino World', 'International Couple', 'International Couple in NYC', '国際カップル', '国際恋愛', 'Japanese Girlfriend', '国際カップルチャンネル', 'カップルチャンネル', '海外生活', 'ニューヨーク', 'Filipino Boyfriend', 'Japanese Filipino Relationship', 'Reacting To Filipino Actors', 'Filipino Actors', 'Filipino', 'Reacting To Philippines', 'Japanese Girl Reacts', 'Japanese Girlfriend Reacts', 'フィリピン人', 'フィリピン', 'イケメン俳優', 'イケメンパラダイス', 'フィリピン留学', '海外留学', 'フィリピン人男性']",en-US,22969,882,0,94,US,"Top Filipino,Trying Filipino",Yes
ED9vNES6L9o,2021-09-04T09:00:11Z,UC5NF_7WBa8OVDC0Xbs8yvOg,Japanese Girl Reacts To Top Filipino Actresses!,"We did the boys and now it's time for the girls!
Today, Suzu reacts to Top Filipino Actresses!

いや、みんな綺麗すぎません！？

次回の動画もお楽しみに！

▶︎【Intro to Our Lives!】私達、日本人とフィリピン系アメリカ人カップルの自己紹介
https://youtu.be/I9bJgyp1VXM

▶︎【How We Met】私達の出会い、馴れ初め編
https://youtu.be/rhFWZA5COvw

▶︎ Check out our previous video! 前回の動画はこちら
Confusing My Japanese Girlfriend Prank! [Cute Reaction] アメリカ人彼氏が無限ループの世界にいたら彼女はいつ気づくのか！？【検証】【ドッキリ】
https://youtu.be/8xdch6aTDAg

Hello, We Are Japapino World Living in NYC!
Suzu is from Tokyo, Japan and Alvin is from the Philippines raised in New York City!
We make videos on our International Couple Relationship, Challenges, Pranks, and Much More!
If you like our content and would like to see more make sure you Comment, Like, and SMASH that Subscribe button!✨
日本生まれ日本育ちのすずと、フィリピン生まれアメリカ育ちのアルビンの、国際カップルです！アメリカ・ニューヨークから、国際恋愛についてや、検証、ドッキリ、NYでのライフスタイルなどの動画をお届けしていきます！ぜひ チャンネル登録、高評価、コメント、よろしくお願いします！

▼Instagram▼
Alvin: https://www.instagram.com/aleibenn/
Suzu: https://www.instagram.com/suzuthebell/

▼TikTok▼
https://www.tiktok.com/@japapinoworld

▼Twitch▼
Alvin: https://www.twitch.tv/aleibenn

▼Discord▼
https://discord.gg/73Y7ZEEJGh

▼Business inquiries (Email)▼
japapino.world@gmail.com

▼In-Video Art▼
Chris: https://www.instagram.com/halakachris/

▼Editor▼
https://www.instagram.com/kairu_desuu/

▼Music Credit▼
Artist: Jimboronie
Song: **FREE/UNTAGGED** Meme Rap x RuneScape Sample Type Beat - SHANTY 2! (Prod. Jimboronie)
Link: https://www.youtube.com/watch?v=ZwvP5a9nlpw

#Filipino #FilipinoActress #IntenationalCouple",Japapino World ジャパピーノ,"['Japapino World', 'International Couple', 'International Couple in NYC', '国際カップル', '国際恋愛', 'Japanese Girlfriend', '国際カップルチャンネル', 'カップルチャンネル', '海外生活', 'ニューヨーク', 'Filipino Boyfriend', 'Japanese Filipino Relationship', 'Reacting To Filipina Actresses', 'Filipino Actresses', 'React to Filipino Actresses', 'Filipina Actresses', 'Most Beautiful Filipina Actresses', 'Liza Soberano', 'フィリピン人', 'フィリピン人 女優', 'アメリカ生活', 'マニラ']",en-US,21987,798,0,115,US,Top Filipino,Yes
AyZZUJGMrio,2018-06-29T00:25:54Z,UCPNBc7ZRwmgk1I6j_lenAfw,THE TOP TEN SEXIEST WOMEN IN THE PHILIPPINES,"In this video, we share with you THE TOP TEN SEXIEST WOMEN IN THE PHILIPPINES. Subscribe to our channel here http://bit.ly/2WYS5pd.

A bevy of beautiful Filipinas awaits your eyes.

QFTD: Which one is the most sexiest Filipina to you? Leave your comments for me in the comments section of this video. And remember to like share and subscribe. 

NEXT VIDEO: Why Blacks Are Moving To The Philippines (2019)
https://www.youtube.com/watch?v=QmSU6f1nj_c

NEXT NEXT VIDEO: How To Spot Lies And Deceit In A Filipina
https://www.youtube.com/watch?v=HceBRwCC0JU&feature=youtu.be

***AFFILIATE LINKS***
Tube Buddy - an Awesome time-saver for Vloggers
and will grow your channel:
http://bit.ly/2qMoW4C

Transferwise - a way to get funds transferred from other countries to the Philippines with the lowest rate possible. Your first transfer is FREE! https://transferwise.com/u/d69391

For Personal Consultations Contact me at bdix004@gmail.com

For Public Speaking Engagements Contact me at bdix004@gmail.com

***DISCLAIMER--- If you sign up with the link above, I make a small commission. I use this service.

***DISCLAIMER---
The videos and Live Streams on our channel reflect the views and opinions as we see it from our perspective. That does not make it right or wrong. It's only OUR viewpoint as the name of our channel states.

***SOCIAL MEDIA***
Personal Facebook Page: http://bit.ly/25LZ0QR

Philippines Connection Facebook Fan Page: http://bit.ly/2UObPdi

Instagram at: http://bit.ly/2tfCEeO

Follow us on Twitter at http://bit.ly/2N0BAEO

Follow us on Google+ at http://bit.ly/2MZfQch

YouTube Channel: http://bit.ly/2WYS5pd

Life In The Philippines Website: http://bit.ly/2N1PTc7

**Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use.
**No copyright intended. All content used in adherence to Fair Use copyright law.
#THETOPTENSEXIESTWOMENINTHEPHILIPPINES
#lifeinthephilippinesablackpersonsviewpoint
#BOBBIED
#THEPHILIPPINESCONNECTION




#lifeinthephilippinesablackpersonsviewpoint #lifeinthephilippinesablackpersonsviewpoint

-~-~~-~~~-~~-~-
Please watch: ""Life In The Philippines Relationship Tips You Can Use Now"" 
https://www.youtube.com/watch?v=7Gb0nbGb2-I
-~-~~-~~~-~~-~-",The Love Train Nation,"['IF THE TOP TEN SEXIEST WOMEN IN THE PHILIPPINES', 'WHEN THE TOP TEN SEXIEST WOMEN IN THE PHILIPPINES', 'WHO THE TOP TEN SEXIEST WOMEN IN THE PHILIPPNES', 'why top ten sexiest women in the philippines', 'where top ten sexiest women in the philippines', 'TEN SEXIEST WOMEN IN THE PHILIPPINES', 'THE PHILIPPINES TOP TEN SEXIEST WOMEN', 'THE TOP TEN SEXIEXT WOMEN IN THE PHILIPPINES', 'nadine lustre58.9', 'top 10 sexiest women in the philippines 2017 | fhm', 'top 10 sexist women in the philippines 2017']",en,2677,13,0,6,US,Top Philippines,Yes
k4cn8eVRCDo,2020-05-25T13:00:16Z,UC41GuD_I41eEuo7KJUbnnRQ,Koreans React to 8 Filipino actresses [Choice Tournament] / Hoontamin,"Koreans reaction and their choice tournament among 8 Filipino actresses. Who will be the final winner? A tournament to find the last ideal type. This game is known as 'ideal type tournament' in Korea. Koreans Hoon and Cormie react to 8 actresses of the Philippines.


※ Korean, Spanish, Portuguese, German, Russian, French, Vietnamese, Indonesian, Turkish, Thai, Arabian, Hindi : 12 languages subtitles are available! For these subtitles, click CC button - 'setting' on PC / 3 dots on mobile - please!


※ English subtitles are supported in video.


★ Support our videos by becoming a Hoontamin channel member!
① PayPal : https://www.paypal.me/hoontamin
② Patreon : https://www.patreon.com/hoontamin﻿


& You can participate in adding and modifying subtitles! : http://goo.gl/LNaiC2",훈타민 Hoontamin,"['필리핀', 'philippines', 'filipino', '여자', '여성', '배우', '여배우', 'actor', 'actress', 'actors', 'actresses', '반응', 'reaction', 'htmvforph', 'htmvforas', 'anne curtis', 'marian rivera', 'kathryn bernardo', 'julia barretto', 'maureen wroblewitz', 'megan young', 'janine gutierrez', 'jessy mendiola', '초이스 토너먼트', 'choice tournament', '이상형 월드컵', 'ideal type', '훈타민', 'hoontamin', 'htmvforcc', 'yt:cc=on', '한국', 'korea', 'korean', 'koreans', 'korean react', 'koreans react', 'korean reaction', 'koreans reaction', 'coreanos reaccion', 'корейская реакция', 'kore tepki', 'coreanos reação', '한국반응']",ko,40989,1381,0,139,KR,"Foreigner reacts to Filipinos,Foreigner travels to Philippines,Korean React Filipino,React to Filipinos,React to Philippines,React to Pinoy",Yes
Mm2I5N5xfes,2023-03-10T02:40:49Z,UCJWNBOyEz7RU9Zk_7dSZ8gg,Miss Universe Philippines 2023 TOP 10 FAVORITES (March edition),"In this video I present my first prediction for the Miss Universe Philippines 2023 that will happen in May. Who will be the next representative of the country? Comment below

Thanks for watching, guys. Leave a like and subscribe
https://www.youtube.com/missuniversepredictions

Follow me on instagram for Miss Universe updates: https://www.instagram.com/missuniversepredictions

Songs credits:

Song: Alva Gracia - Emotions Like [NCS Release]
Music provided by NoCopyrightSounds
Free Download/Stream: http://NCS.io/EmotionsLike
Watch: http://youtu.be/yfxTYELfGLg

Song: Rival x Asketa & Natan Chaim - Superhero In My Sleep [NCS10 Release]
Music provided by NoCopyrightSounds
Free Download/Stream: http://NCS.io/SuperheroInMySleep
Watch: http://youtu.be/WwNsKseeBWU

Song: MELO.KIDS x EMDI - My Love [NCS Release]
Music provided by NoCopyrightSounds
Free Download/Stream: http://ncs.io/MyLove
Watch: http://youtu.be/5Z_A459fWGY

Song: ""Cartoon - On And On Ft. Daniel Levi (Cheline Remix)""
Music promoted by BreakingCopyright: http://bit.ly/Cheline-OnAndOn

Song: Disfigure - Blank [NCS Release]
Music provided by NoCopyrightSounds
Free Download/Stream: http://ncs.io/blank
Watch: http://youtu.be/p7ZsBPK656s

Song: NIVIRO - The Edge (feat. Harley Bird) [NCS Release]
Music provided by NoCopyrightSounds
Free Download/Stream: http://NCS.io/TheEdge
Watch: http://youtu.be/xr6iSSZs74Q

#MissPhilippines2023
#MissUniverse
#MissUniversePredictions
#MissUniverse2023Wishlist
#72ndMissUniverse
#MissUniverse2023
#BeautyPageant
#Runway
#Swimsuit
#MUPredictions
#MissUniverseCatwalks
#BestPerformances
#MissUniverso
#MissUniversoPrediction
#MUPredictions
#Wishlist
#MissCharm2023
#missgrandinternational2023
#missworld2023
#misssupranational2023",Miss Universe Predictions,"['miss universe', 'miss universe philippines', 'miss universe philippines 2023', 'miss universe predictions', 'miss universe philippines 2023 final', 'miss universe philippines 2023 predicitons', 'siera bearchell', 'alvin sebetero', 'pipe vlogs', 'miss universe philippines leadrboard', 'michelle dee', 'samantha panlilio', 'miss universe philippines top 10', 'celeste cortesi', 'beauty pageant', 'philippines', 'miss universe 2023', 'miss philippines 2023', 'binibining pilipinas 2023', 'muph2023', 'angelique manto']",pt-BR,2267,58,0,26,BR,Top Philippines,Yes
qRd5BG4FSA8,2021-01-29T09:00:13Z,UCrrc2wG-F1mPuah_Lb7FJvg,KOREAN REACTS TO FILIPINO CELEBRITIES! Who is the MOST handsome Filipino for a Korea??,"Hello! This is Kelly.
Today, I reacted and picked the most handsome Filipino on my standard.
It was really difficult choosing the top 1 HAHAHA
I hope you enjoyed the video.
If you have any other suggested video, please comment it down.
Please don't forget to LIKE and SUBSCRIBE 💖 
Stay safe!!!
---------------
TGBTG 🌟
---------------
follow me:
🌷 instagram: https://www.instagram.com/yeeun.kelly/",켈리벨스Kellybells,"['korean reacts', 'korean ideal-type', 'korean in the philippines', 'international couple', 'korean raised up in the philippines', 'korean likes daniel padilla', 'daniel padilla', 'kellybells', 'korean youtuber in the philippines', 'small youtuber', '초보 유튜버', '대학생 유튜버', 'Jessica Lee', ""El's Planet"", 'vlog', '브이로그', 'kpop', 'kelly kim', '켈리벨스', 'tagalog challenge', 'reaction video', 'jinho bae']",en,4681,165,0,15,KR,"React to Philippines,Top Filipino",Yes
