x,y,size,topic,top_words
7.988086,0.7743636,311,0,"filipinos, philippines, filipino, culture, country"
8.021512,2.649185,264,1,"song, video, watch, yall, shes"
7.9624424,1.5172119,197,2,"manila, philippines, hotel, park, place"
8.568861,1.4578798,185,3,"islands, island, philippines, trip, cebu"
16.076357,9.634633,159,4,"dishes, philippines, dish, filipino, restaurant"
16.773767,9.612012,117,5,"philippines, filipino, food, rice, pie"
16.996181,9.375534,79,6,"snacks, snack, flavor, food, corn"
15.594117,9.525338,74,7,"recipe, cooking, garlic, cook, cooked"
8.281563,2.087998,44,8,"celebrate, christmas, philippines, going, doing"
7.9629893,0.2573496,43,9,"philippines, philippine, manila, filipino, filipinos"
