Topic,Word,Probability
0,filipinos,0.5932149
0,philippines,0.59321165
0,filipino,0.5775243
0,culture,0.30845216
0,country,0.27874646
0,living,0.22393914
0,family,0.19906351
0,friends,0.19344878
0,things,0.19339567
0,talking,0.19241333
1,song,0.30801624
1,video,0.28826946
1,watch,0.28185922
1,yall,0.2727079
1,shes,0.25848174
1,watching,0.25485417
1,videos,0.2529786
1,singing,0.24334416
1,listen,0.23915249
1,gonna,0.23766358
2,manila,0.53322625
2,philippines,0.46626067
2,hotel,0.32492822
2,park,0.2767775
2,place,0.2767665
2,mall,0.27248323
2,going,0.26704216
2,city,0.2610378
2,pesos,0.23906258
2,street,0.23479836
3,islands,0.46353573
3,island,0.4543512
3,philippines,0.41394904
3,trip,0.4102911
3,cebu,0.39549392
3,visit,0.3628556
3,tour,0.34609658
3,lagoon,0.32037878
3,beaches,0.31619388
3,hotel,0.31094694
4,dishes,0.46119106
4,philippines,0.44311148
4,dish,0.43850976
4,filipino,0.43433797
4,restaurant,0.41476187
4,food,0.39406466
4,rice,0.38375506
4,cooking,0.3793905
4,eating,0.3713298
4,pork,0.36797675
5,philippines,0.41621864
5,filipino,0.3741505
5,food,0.33678776
5,rice,0.32411388
5,pie,0.31071562
5,burger,0.30361485
5,pork,0.29865116
5,eat,0.29324925
5,delicious,0.29191774
5,mcdonalds,0.26704055
6,snacks,0.506871
6,snack,0.5058242
6,flavor,0.39804024
6,food,0.3929535
6,corn,0.39054805
6,chocolate,0.37560204
6,eating,0.36997086
6,rice,0.36249745
6,delicious,0.3537665
6,chips,0.3250962
7,recipe,0.5067916
7,cooking,0.46015054
7,garlic,0.4245062
7,cook,0.4121399
7,cooked,0.4029023
7,dish,0.37585622
7,onions,0.37508783
7,pork,0.35940707
7,chicken,0.35362202
7,shrimp,0.35147184
8,celebrate,0.35651407
8,christmas,0.31975245
8,philippines,0.28386796
8,going,0.2811097
8,doing,0.2771446
8,work,0.2743299
8,palangga,0.27248144
8,working,0.2661382
8,gonna,0.26313734
8,place,0.25367188
9,philippines,0.4903826
9,philippine,0.48748836
9,manila,0.4492936
9,filipino,0.41592008
9,filipinos,0.389107
9,china,0.32685655
9,chinese,0.31053668
9,duterte,0.28864822
9,rodrigo,0.28799927
9,trump,0.27036807
